Defect ID,Feature ID,Description,Severity,Reproduction Steps,Expected Result,Actual Result,Root Cause Hypothesis,Status,Found,Verification
D-001,F-AI-001,"Chat history is a single global ChatMessage table with no user/session scoping (route.ts:67-74, 124-127). Every caller reads and writes the same conversation, so different users see and influence each other's chat history.",high,static code review — see Description (file:line),per documented Expected Behaviour,see Description,ChatMessage model (schema.prisma:387-393) has no userId/sessionId column; the route queries the whole table.,Open,2026-06-26,
D-002,F-AI-001,"No length/size validation on message or context (route.ts:54-58). Unbounded strings are persisted to SQLite and forwarded to the LLM, enabling cost/DoS abuse and oversized token requests.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"Validation only checks presence and type, not bounds.",Open,2026-06-26,
D-003,F-AI-001,"When Z.ai returns no content, the fallback error string is saved into ChatMessage as a genuine assistant turn (route.ts:109-120), polluting future conversation history that gets re-injected as context.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Fallback assignment happens before the unconditional create() with no success check.,Open,2026-06-26,
D-004,F-AI-002,"GET returns the OLDEST 50 messages (orderBy asc + take 50) (route.ts:139-142), so once the table exceeds 50 rows the most recent messages are never returned by this endpoint — inconsistent with POST which returns newest 20 desc (route.ts:124-127).",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Ascending order combined with take:50 caps at the start of the table instead of the tail.,Open,2026-06-26,
D-005,F-AI-003,DELETE deletes the entire ChatMessage table unconditionally with no auth and no scoping (route.ts:146-148). Any anonymous request destroys all users' chat history.,high,static code review — see Description (file:line),per documented Expected Behaviour,see Description,deleteMany() called with no where clause and no authentication guard.,Open,2026-06-26,
D-006,F-AI-004,"topK from query string is not validated (rag/route.ts:64,115). Non-numeric values yield NaN and slice(0,NaN) returns an empty result set even when matches exist; negative values produce an unintended slice.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,parseInt result passed directly to Array.slice without NaN/range guard.,Open,2026-06-26,
D-007,F-AI-004,GET has no try/catch (rag/route.ts:61-127); a DB failure surfaces as an unhandled rejection rather than a controlled error response.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Only POST-style error handling exists for the AI path; the retrieval path is unguarded.,Open,2026-06-26,
D-008,F-AI-005,"POST /api/rag has no top-level try/catch (rag/route.ts:130-251). A malformed JSON body (req.json() at 131), a DB write failure, or a non-balance API error throws an unhandled rejection returning a raw 500 with no controlled body.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Error handling only wraps the LLM call (212-222); request parsing and persistence are unguarded.,Open,2026-06-26,
D-009,F-AI-005,"In the 503 insufficient-balance branch, `sources: top` returns full internal doc objects (id, tokens) (rag/route.ts:218) whereas the success path maps to {ref,book,text,score} (rag/route.ts:244-249) — inconsistent/over-exposed shape including the raw token arrays.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Different serialization in the error branch vs success branch.,Open,2026-06-26,
D-010,F-AI-005,topK from the body is never validated as a number (rag/route.ts:132); a string topK flows into Array.slice (165) producing undefined behaviour for non-numeric inputs.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Default value supplied but no type coercion/guard.,Open,2026-06-26,
D-011,F-AI-006,"chapterNum is validated as truthy (summarize/route.ts:13), so a legitimate chapter numbered 0 is rejected with 400; also no string->int coercion, so a JSON string chapterNum reaches a Prisma Int field (route.ts:21) risking a type error or silent miss.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"Presence check uses falsiness instead of `=== undefined`/Number.isInteger, and trusts client JSON type.",Open,2026-06-26,
D-012,F-AI-006,"No top-level try/catch (summarize/route.ts:9-130). req.json() on a malformed body, a DB error, or a non-balance API error throws an unhandled rejection -> raw 500 with no controlled error body.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Only the LLM call is wrapped (88-105); parsing and persistence are unguarded.,Open,2026-06-26,
D-013,F-AI-006,"The fallback no-content summary string is unconditionally written to Chapter.summary (route.ts:107,110-113), overwriting any previously valid editorial/AI summary with an error placeholder when the LLM returns empty.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Persist happens regardless of whether real content was produced.,Open,2026-06-26,
D-014,F-AI-008,"Confidence/credibility math can be undermined: Evidence.confidence = credibility*0.7 and blindspot = credibility<0.6 (scrape/route.ts:223,227), but scoreCredibility floors unknown domains at 0.55 and adds keyword bonus, so low-quality unknown sources get auto-corroborated Evidence and a passing ReviewRecord with no human review.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"Auto-corroboration writes review/audit records as if vetted, conflating heuristic scoring with editorial approval.",Open,2026-06-26,
D-015,F-AI-008,"`found: searchResults.length` (scrape/route.ts:260) reports the full result count while only Math.min(num,8) results are ever processed/saved (scrape/route.ts:129), so found can exceed the number actually considered — misleading metric.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,found derived from the raw array length rather than topResults.,Open,2026-06-26,
D-016,F-AI-008,"num is not validated (scrape/route.ts:91); negative or non-numeric num flows into Math.min and slice, producing empty or unexpected processing sets silently.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Default supplied but no numeric/range guard.,Open,2026-06-26,
D-017,F-AI-010,"The 'verses needing evidence' query is broken: the NOT/id-in filter maps evidence rows to '' for every element — `(await db.evidence.findMany({select:{scriptureRef:true}})).map(() => '')` (auto-grow/route.ts:93) produces an array of empty strings, so the exclusion is meaningless. The result (versesNeedingEvidence) is then never used; the code falls through to a hardcoded `text contains 'Watchers'` query (auto-grow/route.ts:101-107). The advertised 'verses lacking evidence' behaviour does not happen.",high,static code review — see Description (file:line),per documented Expected Behaviour,see Description,map callback ignores the row and returns '' (acknowledged by the inline comment at 100); dead query left in place.,Open,2026-06-26,
D-018,F-AI-010,"ReviewRecord is linked via a re-query: itemId comes from db.evidence.findFirst({where:{sourceId}, orderBy createdAt desc}) (auto-grow/route.ts:229). On reruns or when multiple evidence rows share a sourceId, this can attach the ReviewRecord to the wrong evidence; the just-created evidence id from line 211 is discarded instead of being captured.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"db.evidence.create result is not assigned to a variable, forcing a fragile lookup.",Open,2026-06-26,
D-019,F-AI-010,No request validation or auth on a maxDuration 300s endpoint that performs external network fetches and bulk DB writes (auto-grow/route.ts:26-30). mode and limit are unvalidated; a large limit or repeated calls can drive cost/load.,medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Endpoint trusts client input and is publicly reachable.,Open,2026-06-26,
D-020,F-AI-010,No top-level try/catch around req.json() (auto-grow/route.ts:27); a malformed body throws an unhandled rejection before the GrowResult scaffolding is built.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Body parse is outside any guard.,Open,2026-06-26,
D-021,F-AI-011,"GET status calls checkApiHealth (auto-grow/route.ts:257) which POSTs a real chat/completions request to Z.ai on every status poll (zai-api.ts:223-236), incurring a billable API call as a side effect of a read-only status endpoint.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Health probe is an active LLM call rather than a lightweight/cached check.,Open,2026-06-26,
D-022,F-AI-013,"A real Z.ai API key literal is hardcoded as the default for API_KEY (zai-api.ts:4: `process.env.ZAI_API_KEY || '<redacted-rotate-me>'`). This secret is committed to the repo and used by webSearch, pageReader, and checkApiHealth whenever the env var is unset, exposing the credential and risking unauthorized billing.",critical,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Convenience default left in source; should be required env with no fallback.,Fixed — verified,2026-06-26,Removed hardcoded Z.ai key from src/lib/zai-api.ts; env-only + graceful fallback. Gate green. (Leaked key still needs owner rotation.)
D-023,F-AI-013,"request_id is `ws-${Date.now()}`.slice(0,30) (zai-api.ts:46); under concurrent same-millisecond calls request_ids collide, which can confuse server-side request correlation/idempotency.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Timestamp-only id with no randomness/counter.,Open,2026-06-26,
D-024,F-AI-014,"When data.data / data.results is an array it is returned verbatim (zai-api.ts:109-111) without coercion to the SearchResult shape, so downstream consumers (scrape/auto-grow expecting r.url, r.snippet) may receive missing fields and create Source rows with title=url and empty snippet.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Pass-through return assumes upstream already matches the interface.,Open,2026-06-26,
D-025,F-AI-015,"directFetchPage (zai-api.ts:180-207) fetches any caller-supplied URL with no allowlist/scheme/host restriction. Because scrape (scrape/route.ts:134) and auto-grow (auto-grow/route.ts:173) feed it URLs that ultimately originate from external/AI search results, an attacker who can influence the search results (or a malicious scriptureRef-driven query) could induce server-side requests to internal addresses (SSRF).",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No URL validation before server-side fetch; trusts upstream search output.,Open,2026-06-26,
D-026,F-AI-016,"error.code is compared against string literals '1113'/'1211' (zai-api.ts:239,242); if the API returns a numeric code these comparisons silently fail and fall through to the generic branch, mislabeling balance/model errors.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Assumes code is a string without normalizing the type.,Open,2026-06-26,
D-027,F-ST-002,"chapter=0 is mishandled: src/app/api/scripture/route.ts:31 uses `chapterNum ? parseInt(...) : ...` and the result feeds a truthiness check at line 32 (`if (!targetChapter)`). parseInt('0',10)===0 is falsy, so chapter '0' falls back to the first chapter rather than querying chapter 0.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Falsy-zero handling: numeric 0 treated the same as missing/invalid because of `!targetChapter` and the `chapterNum ?` guard.,Open,2026-06-26,
D-028,F-ST-004,"Comment at src/app/api/fts/route.ts:16-17 says 'use OR for multi-word' but the implementation joins quoted tokens with a space, which is implicit AND in FTS5. Multi-word searches therefore require ALL terms, contradicting documented intent.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Missing ' OR '.join(...) — tokens are space-joined instead of OR-joined.,Open,2026-06-26,
D-029,F-ST-004,"rank is computed as `-i` (negative array index) at src/app/api/fts/route.ts:35, not a real bm25 relevance score. The comment acknowledges bm25 'needs to be in the same query' but it was never added, so results are unranked / ordered only by SQLite's default row order.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,bm25() ranking was deferred and replaced with a positional placeholder; ORDER BY rank is absent in the SQL.,Open,2026-06-26,
D-030,F-ST-004,"limit from `parseInt(searchParams.get('limit') || '20', 10)` at src/app/api/fts/route.ts:10 is not validated; a non-numeric value yields NaN and a negative value is passed directly into SQL LIMIT (only the verse query; sources/evidence are Math.min-clamped but a negative limit still flows through as Math.min(neg,10)=neg).",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No clamping/validation of the parsed limit before binding into the raw query.,Open,2026-06-26,
D-031,F-ST-006,"The theme-list branch (src/app/api/themes/route.ts:12-17) eagerly includes every verseLink (and each verse's book) solely to compute verseCount = verseLinks.length (line 25), instead of using Prisma _count. This loads the entire join graph for all themes on every list request.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,verseCount derived in JS from a full include rather than a relation _count aggregate; N+ row hydration overhead.,Open,2026-06-26,
D-032,F-ST-008,"Verse selection is limited to the first 200 rows via `take: 200` at src/app/api/daily-insight/route.ts:19, so any verse beyond index 199 can never be chosen as the daily insight regardless of dayOfYear.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"take: 200 was likely a guard against loading the whole corpus, but it silently caps the rotation pool.",Open,2026-06-26,
D-033,F-ST-008,"Find-then-create on date is not atomic (src/app/api/daily-insight/route.ts:12 findUnique then :52 create). Two concurrent first-of-day requests can both pass the existence check and the second create will violate the date @unique constraint, throwing an unhandled 500.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No upsert / transaction; check-then-act race on the unique date key.,Open,2026-06-26,
D-034,F-ST-011,"Type error at src/app/api/flashcards/route.ts:86/98: `const created = []` infers type `never[]`, so `created.push(card)` at line 98 (card being a Prisma Flashcard) is a TypeScript error (`Argument of type 'Flashcard' is not assignable to parameter of type 'never'`). Will fail tsc/build with strict typing.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"Array literal initialized without an explicit element type, so TS infers never[]; needs `const created: Flashcard[] = []` or typed accumulation.",Open,2026-06-26,
