Feature ID,Feature Name,Surface,User Story,Expected Behaviour,Edge Cases,Validation Rules,Dependencies,Assumptions,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F-AI-001,AI Study Tutor Chat (send message),POST /api/chat,"As a Bible study seeker, I want to ask the AI study companion questions with optional scripture context, so that I get truth-seeking, multi-perspective answers that persist across the conversation.","Parses JSON body for { message, context }. Rejects with 400 if message is missing or not a string (route.ts:56-58). If context is a non-empty trimmed string, appends a 'Current Scripture Context' block to the system prompt (route.ts:61-64). Loads the last 8 ChatMessage rows (desc by createdAt), reverses them to chronological order, and maps to {role, content} (route.ts:67-74). Persists the incoming user message to ChatMessage with context (route.ts:77-83). Calls ZAI.create() then zai.chat.completions.create with model 'glm-4.5', messages = [system+contextBlock, ...history, user message], thinking enabled (route.ts:85-96). On API error, inspects error message for '1113'/'Insufficient balance' and returns 503 with error+reply (route.ts:97-107); otherwise rethrows. Extracts reply from completion.choices[0].message.content with a fallback string (route.ts:109-111). Persists the assistant message (route.ts:114-120). Returns { reply, history: last 20 messages desc } (route.ts:122-128). Top-level catch logs and returns 500 with err.message (route.ts:129-135).","message present but empty string -> falsy, returns 400 | message is a number/object -> typeof check returns 400 | context whitespace-only -> trim().length===0 so no context block added | no prior ChatMessage rows -> history empty, still proceeds | Z.ai returns no content -> fallback reply string used and SAVED as assistant message | Insufficient balance -> 503 but user message already persisted, assistant NOT persisted | history includes prior [RAG] user messages and role 'system' rows (cast loosely) injected into the conversation","message: required, must be typeof string (route.ts:56) | context: optional, only used if trim().length>0 (route.ts:62) | NOTE: no length cap on message or context — unbounded input sent to LLM and DB | NOTE: no auth / rate limiting on the endpoint","DB model ChatMessage | z-ai-web-dev-sdk (ZAI.create, chat.completions.create) | @/lib/db (Prisma client) | model 'glm-4.5' | implicit Z.ai SDK credentials (SDK-managed, separate from ZAI_API_KEY used by zai-api.ts)",ChatMessage table is a single global conversation (no user/session scoping) — all users share one history | completion shape is choices[0].message.content | m.role values stored are valid LLM roles | thinking:{type:'enabled'} is accepted by glm-4.5 via the SDK,"8 (TC-F-AI-001-1, TC-F-AI-001-2, TC-F-AI-001-3, TC-F-AI-001-4, TC-F-AI-001-5, TC-F-AI-001-6, TC-F-AI-001-7, TC-F-AI-001-8)",Static review — defect(s) open,3,high,src/app/api/chat/route.ts:51 | src/app/api/chat/route.ts:56 | src/app/api/chat/route.ts:67 | src/app/api/chat/route.ts:77 | src/app/api/chat/route.ts:88 | src/app/api/chat/route.ts:99 | src/app/api/chat/route.ts:122,2026-06-26
F-AI-002,Chat history retrieval,GET /api/chat,"As a returning user, I want to fetch my recent chat history, so that the UI can render the prior conversation.","Loads up to 50 ChatMessage rows ordered ascending by createdAt and returns { history } (route.ts:138-143). No input parameters, no error handling beyond Next default.","Empty table -> { history: [] } | More than 50 messages -> only the oldest 50 (asc) returned, not the most recent | DB unreachable -> unhandled rejection -> Next 500",No input to validate | NOTE: no auth; returns the global shared history,DB model ChatMessage | @/lib/db,50 oldest messages are the relevant slice for the UI | single global conversation,"5 (TC-F-AI-002-1, TC-F-AI-002-2, TC-F-AI-002-3, TC-F-AI-002-4, TC-F-AI-002-5)",Static review — defect(s) open,1,low,src/app/api/chat/route.ts:138 | src/app/api/chat/route.ts:139,2026-06-26
F-AI-003,Clear chat history,DELETE /api/chat,"As a user, I want to clear the entire chat history, so that I can start a fresh conversation.","Calls db.chatMessage.deleteMany() with no filter, deleting ALL ChatMessage rows, and returns { ok: true } (route.ts:146-149).",Empty table -> still returns ok:true | Deletes everyone's messages (no scoping) | No confirmation / idempotent,"No input | NOTE: no auth, no scoping, no confirmation",DB model ChatMessage | @/lib/db,Clearing the entire global table is the intended behaviour,"4 (TC-F-AI-003-1, TC-F-AI-003-2, TC-F-AI-003-3, TC-F-AI-003-4)",Static review — defect(s) open,1,high,src/app/api/chat/route.ts:146 | src/app/api/chat/route.ts:147,2026-06-26
F-AI-004,TF-IDF semantic verse search,GET /api/rag,"As a researcher, I want to search the verse corpus by keyword and get the most textually similar verses ranked by score, so that I can find relevant passages without an LLM call.","Reads q (trimmed) and topK (default 8) from query string (rag/route.ts:62-64). Returns 400 if q missing or length < 3 (rag/route.ts:66-68). Loads up to 500 Verse rows with book+chapter, ordered by verseNum asc (rag/route.ts:71-75). If no verses, returns { q, results: [] } (rag/route.ts:77-79). Builds docs with tokenized text (lowercase, split on non-alphanumeric, drop tokens <=2 chars and stopwords) (rag/route.ts:23-28, 82-88). Computes document frequency and IDF = log((N+1)/(c+1))+1 (rag/route.ts:90-101). Computes query TF (normalized by max term frequency) and cosine similarity per doc (rag/route.ts:104-111). Sorts desc by score, slices topK, filters score>0 (rag/route.ts:113-115). Returns { q, totalCorpus, results:[{ref,book,text,score}] } (rag/route.ts:117-126).","q length exactly 3 -> allowed; length 2 -> 400 | topK non-numeric -> parseInt -> NaN -> slice(0,NaN) returns [] so results empty | topK negative -> slice(0,-n) returns leading items unexpectedly | query terms all stopwords/short -> queryTf empty -> all scores 0 -> empty results | corpus > 500 verses -> only first 500 by verseNum searched | verse text with no matching tokens -> score 0 filtered out","q: required, min length 3 after trim (rag/route.ts:66) | topK: parseInt base 10, default '8' (rag/route.ts:64) | NOTE: topK not validated for NaN/negative/upper bound","DB models Verse, Book, Chapter | @/lib/db",500 verses is sufficient corpus coverage | TF-IDF cosine over short verses yields meaningful ranking | v.book.slug and v.chapter.number always present (include guarantees relations),"7 (TC-F-AI-004-1, TC-F-AI-004-2, TC-F-AI-004-3, TC-F-AI-004-4, TC-F-AI-004-5, TC-F-AI-004-6, TC-F-AI-004-7)",Static review — defect(s) open,2,medium,src/app/api/rag/route.ts:61 | src/app/api/rag/route.ts:64 | src/app/api/rag/route.ts:66 | src/app/api/rag/route.ts:71 | src/app/api/rag/route.ts:114,2026-06-26
F-AI-005,RAG grounded Q&A,POST /api/rag,"As a study user, I want to ask a natural-language question and get an AI answer grounded only in retrieved corpus verses with citations, so that the answer is verifiable against scripture.","Parses { question, topK=8 } (rag/route.ts:131-132). Returns 400 if question missing or not a string (rag/route.ts:134-136). Retrieves up to 500 Verse rows, runs the same TF-IDF/cosine pipeline as GET (rag/route.ts:139-165). If no scoring verse (top length 0), returns a canned 'could not find any verses' answer with empty sources (rag/route.ts:167-172). Builds a numbered context block from top verses (rag/route.ts:175-177). Calls glm-4.5 with a strict grounding system prompt + the question, thinking enabled (rag/route.ts:201-211). On API error containing '1113'/'Insufficient balance'/'429', returns 503 with error/answer and sources (rag/route.ts:212-220); else rethrows. Extracts answer with fallback (rag/route.ts:224). Persists a '[RAG] question' user ChatMessage and the assistant answer, both with context = comma-joined source refs (rag/route.ts:227-240). Returns { answer, sources:[{ref,book,text,score}] } (rag/route.ts:242-250).","question empty string -> 400 | no verses match -> canned answer, no LLM call, no DB writes | topK non-numeric in body -> not parsed (used as-is); if string, slice coerces oddly | Z.ai 429 rate limit -> 503 path | LLM returns no content -> fallback answer saved as assistant message | POST has no top-level try/catch -> JSON parse error or DB write error -> unhandled 500","question: required, typeof string (rag/route.ts:134) | topK: defaults to 8, NOT type-validated (rag/route.ts:132) | NOTE: no length cap on question; no auth","DB models Verse, Book, Chapter, ChatMessage | z-ai-web-dev-sdk | @/lib/db | model 'glm-4.5'",Retrieved top verses are sufficient grounding | LLM obeys the non-fabrication grounding rules | topK passed in body is a number,"7 (TC-F-AI-005-1, TC-F-AI-005-2, TC-F-AI-005-3, TC-F-AI-005-4, TC-F-AI-005-5, TC-F-AI-005-6, TC-F-AI-005-7)",Static review — defect(s) open,3,medium,src/app/api/rag/route.ts:130 | src/app/api/rag/route.ts:134 | src/app/api/rag/route.ts:167 | src/app/api/rag/route.ts:204 | src/app/api/rag/route.ts:227,2026-06-26
F-AI-006,AI chapter summary generation,POST /api/summarize,"As a reader, I want an AI-generated structured summary of a chapter grounded in its verses, cross-references, and evidence, so that I quickly understand its context and contested points.","Parses { bookSlug, chapterNum } (summarize/route.ts:10-11). Returns 400 if either falsy (summarize/route.ts:13-15). Looks up Book by slug -> 404 if not found (summarize/route.ts:17-18). Looks up first Chapter by bookId+number with ordered verses -> 404 if not found (summarize/route.ts:20-24). Joins verses into text (summarize/route.ts:26-28). Fetches up to 10 CrossReferences whose sourceRef OR targetRef startsWith '<bookSlug> <chapterNum>:' ordered by confidence desc (summarize/route.ts:31-36). Fetches up to 5 Evidence rows whose scriptureRef startsWith that prefix, with source, ordered by confidence desc (summarize/route.ts:39-44). Builds a structured system prompt embedding verses/cross-refs/evidence (summarize/route.ts:46-84). Calls glm-4.5 with thinking enabled (summarize/route.ts:88-96). On balance/429 error returns 503 (summarize/route.ts:97-104); else rethrows. Extracts summary with fallback (summarize/route.ts:107). Persists summary on the Chapter (summarize/route.ts:110-113). Returns { bookSlug, chapterNum, summary, crossRefs, evidence[mapped] } (summarize/route.ts:115-129).","chapterNum = 0 -> falsy -> 400 (legitimately can't summarize chapter 0, but also blocks any 0 value) | chapterNum as string from JSON -> used directly in Prisma where number — type mismatch risk | book exists but chapter doesn't -> 404 | no cross-refs/evidence -> prompt says 'None yet in the database.' | LLM no content -> fallback summary still persisted on Chapter | balance error -> 503 but Chapter.summary NOT updated","bookSlug: required, truthy (summarize/route.ts:13) | chapterNum: required, truthy — NOTE rejects 0 and does not coerce string->int (summarize/route.ts:13) | NOTE: no try/catch around req.json() or DB writes; no auth","DB models Book, Chapter, Verse, CrossReference, Evidence, Source | z-ai-web-dev-sdk | @/lib/db | model 'glm-4.5'",chapterNum arrives as a JSON number matching the Int column | scriptureRef prefix format '<slug> <num>:' matches stored refs | Overwriting Chapter.summary on every call is desired,"7 (TC-F-AI-006-1, TC-F-AI-006-2, TC-F-AI-006-3, TC-F-AI-006-4, TC-F-AI-006-5, TC-F-AI-006-6, TC-F-AI-006-7)",Static review — defect(s) open,3,medium,src/app/api/summarize/route.ts:9 | src/app/api/summarize/route.ts:13 | src/app/api/summarize/route.ts:17 | src/app/api/summarize/route.ts:20 | src/app/api/summarize/route.ts:110,2026-06-26
F-AI-007,Fetch stored chapter summary,GET /api/summarize,"As a reader, I want to retrieve a previously generated chapter summary without re-running the AI, so that I can display it instantly.","Reads book and chapter from query string (summarize/route.ts:133-135). Returns 400 if either missing (summarize/route.ts:136-138). Looks up Book by slug -> 404 if absent (summarize/route.ts:139-140). Finds first Chapter by bookId + parseInt(chapter) -> 404 if absent (summarize/route.ts:141-144). Returns { summary, hasSummary: !!chapter.summary } (summarize/route.ts:145).","chapter non-numeric -> parseInt NaN -> findFirst number:NaN -> no match -> 404 | summary null -> hasSummary false, summary null returned | book missing -> 404","book: required (summarize/route.ts:136) | chapter: required, parsed via parseInt base 10 (summarize/route.ts:142) | NOTE: no NaN guard on parsed chapter","DB models Book, Chapter | @/lib/db",chapter query param is an integer string,"5 (TC-F-AI-007-1, TC-F-AI-007-2, TC-F-AI-007-3, TC-F-AI-007-4, TC-F-AI-007-5)",Reviewed — no open defects,0,,src/app/api/summarize/route.ts:132 | src/app/api/summarize/route.ts:136 | src/app/api/summarize/route.ts:142,2026-06-26
F-AI-008,Web scrape for corroborating sources,POST /api/scrape,"As a contributor, I want to scrape the web for scholarly sources corroborating a query/scripture and auto-save them with credibility scores and evidence links, so that the knowledge base grows with vetted-ish corroboration.","Wrapped in try/catch (scrape/route.ts:88-279). Parses { query, scriptureRef?, scriptureText?, num=8 } (scrape/route.ts:90-91). Returns 400 if query missing or not a string (scrape/route.ts:93-95). Dynamically imports webSearch/pageReader from zai-api (scrape/route.ts:98). Calls webSearch with query augmented by 'archaeology OR evidence OR ...' (scrape/route.ts:102-105). On search error: balance -> 503, else 502 (scrape/route.ts:106-118). If results empty/non-array -> 502 (scrape/route.ts:120-125). Takes top min(num,8) results; page-reads top 3 in parallel (scrape/route.ts:127-144). For each top result: derives domain, scores credibility, categorizes, extracts keywords, parses date (scrape/route.ts:147-160). Skips and marks if Source.url already exists (scrape/route.ts:163-167). If page HTML available, strips tags to text (slice 12000) and builds a 2-3 sentence summary (scrape/route.ts:174-194). Creates a Source row (scrape/route.ts:196-210). If scriptureRef provided, creates an Evidence (confidence = credibility*0.7, reviewState auto-corroborated, blindspot if credibility<0.6), a ReviewRecord, and an AuditLog (scrape/route.ts:214-252). Returns { query, scriptureRef, found, saved, sources[mapped] } (scrape/route.ts:257-272). Top-level catch -> 500 (scrape/route.ts:273-278).","query present but empty -> falsy -> 400 | num large -> capped at 8 for processing (scrape/route.ts:129) | num <= 0 -> slice(0, min(num,8)) -> empty topResults -> saved 0 | URL parse failure -> domain 'unknown' (scrape/route.ts:149-155) | duplicate URL -> skipped:true pushed, no new Source/Evidence | scriptureRef absent -> only Source saved, no Evidence/Review/Audit | page-read fails -> snippet-only summary used | found count uses full searchResults.length but saved iterates only topResults","query: required, typeof string (scrape/route.ts:93) | num: defaults to 8, capped via Math.min(num,8); NOTE not validated for negative/non-number | NOTE: scriptureRef/scriptureText accepted unvalidated and stored directly | NOTE: no auth — anyone can write Source/Evidence/AuditLog rows","DB models Source, Evidence, ReviewRecord, AuditLog | @/lib/zai-api (webSearch, pageReader) | env ZAI_API_KEY/ZAI_BASE_URL/ZAI_MODEL (used inside zai-api) | @/lib/db",webSearch results have url/snippet/name/date fields | credibility*0.7 is a meaningful evidence confidence | auto-corroborated state is acceptable to inject unreviewed data | Source.url uniqueness enforced (schema @unique),"8 (TC-F-AI-008-1, TC-F-AI-008-2, TC-F-AI-008-3, TC-F-AI-008-4, TC-F-AI-008-5, TC-F-AI-008-6, TC-F-AI-008-7, TC-F-AI-008-8)",Static review — defect(s) open,3,medium,src/app/api/scrape/route.ts:88 | src/app/api/scrape/route.ts:93 | src/app/api/scrape/route.ts:102 | src/app/api/scrape/route.ts:163 | src/app/api/scrape/route.ts:196 | src/app/api/scrape/route.ts:214,2026-06-26
F-AI-009,List scraped sources,GET /api/scrape,"As a reviewer, I want to list the most recently retrieved sources with their evidence links, so that I can audit what the scraper has ingested.","Loads up to 100 Source rows ordered by retrievedAt desc, including their evidences, and returns { sources } (scrape/route.ts:282-289).",Empty table -> { sources: [] } | More than 100 sources -> only newest 100 | DB failure -> unhandled (no try/catch),No input | NOTE: no auth,"DB models Source, Evidence | @/lib/db",100-row cap is sufficient for review UI,"4 (TC-F-AI-009-1, TC-F-AI-009-2, TC-F-AI-009-3, TC-F-AI-009-4)",Reviewed — no open defects,0,,src/app/api/scrape/route.ts:282 | src/app/api/scrape/route.ts:283,2026-06-26
F-AI-010,Auto-grow database (batch scrape),POST /api/auto-grow,"As an operator, I want to batch-scrape corroboration across themes/verses/film-topics in one rate-limited run, so that the corpus grows automatically with sources and evidence links.","Parses { mode='themes', limit=10, skipHealthCheck=false } (auto-grow/route.ts:27-30). Runs checkApiHealth unless skipped; if not ok, pushes a note but proceeds with free fallback (auto-grow/route.ts:43-49). Builds workItems by mode: themes (top `limit` Theme rows with one sample verse), film-topics (10 hardcoded queries sliced to limit), verses (intended to pick verses lacking evidence — see defect — then keyVerses containing 'Watchers') (auto-grow/route.ts:54-116). Dedupes by first 60 chars of query, then slices to limit (auto-grow/route.ts:118-127). For each item: webSearch(query,5); on error push to result.errors and continue; if empty skip++ (auto-grow/route.ts:130-146). Saves top 3 results: derive domain/credibility/category, skip existing Source, page-read only index 0, strip HTML, create Source (sourcesAdded++) (auto-grow/route.ts:148-207). If item.scriptureRef, create Evidence (confidence credibility*0.7, blindspot<0.6), then ReviewRecord via a re-query findFirst (evidenceAdded++) (auto-grow/route.ts:210-238). Sleeps 2000ms between items (auto-grow/route.ts:242). Per-item errors caught into result.errors (auto-grow/route.ts:243-245). Returns the GrowResult (auto-grow/route.ts:248).",mode invalid -> none of the if-branches match -> empty workItems -> processed 0 | limit huge -> capped only by available data and slice(limit) | verses mode -> the NOT/in query maps evidence ids to '' (always-empty array) so the filter is a no-op; then a second query restricts to text contains 'Watchers' | no themes/verses in DB -> empty queue | API down -> proceeds with free fallback curated sources | ReviewRecord re-query findFirst could match a different evidence for the same source on reruns,"mode: optional, defaults 'themes'; NOT validated against allowed set (auto-grow/route.ts:28) | limit: optional, defaults 10; NOT validated for negative/upper bound (auto-grow/route.ts:29) | NOTE: no auth on a 5-minute, DB-mutating, externally-fetching endpoint","DB models Theme, VerseTheme, Verse, Book, Chapter, Evidence, Source, ReviewRecord | @/lib/zai-api (webSearch, pageReader, checkApiHealth) | env ZAI_* (in zai-api) | @/lib/db",Theme.verseLinks[0] gives a representative verse | Hardcoded film queries remain relevant | Skipping existing Source URLs is enough dedupe | Re-querying findFirst returns the just-created evidence,"7 (TC-F-AI-010-1, TC-F-AI-010-2, TC-F-AI-010-3, TC-F-AI-010-4, TC-F-AI-010-5, TC-F-AI-010-6, TC-F-AI-010-7)",Static review — defect(s) open,4,high,src/app/api/auto-grow/route.ts:26 | src/app/api/auto-grow/route.ts:43 | src/app/api/auto-grow/route.ts:87 | src/app/api/auto-grow/route.ts:130 | src/app/api/auto-grow/route.ts:211 | src/app/api/auto-grow/route.ts:229,2026-06-26
